Domain,Related_CSE,Relation_Score,Match_Types,Status,Notes,Final_URL,HTTP_Status,Title,Favicon_URL,RDAP_Org,RDAP_Registrar,First_Seen_ISO,Lex_URL_Len,Lex_NumDots,Lex_HasDigit,Lex_HasHyphen,Lex_SuspiciousTLD,Domain_Age_Days,Content_CSE_Keyword_Count,Content_Phish_Keyword_Count,Semantic_Score,Favicon_HD
swiftshopy.in,NIC,0.5,Content,related,,https://swiftshopy.in,200,"
      SwiftShopy
",https://swiftshopy.in/favicon.ico,,146.0,2025-11-11T07:13:43.651916+00:00,13,1,0,0,0,6.0,1,0,0.2565081417560577,999
gptandagondia.org.in,NIC,0.5,Content,related,,https://www.gptandagondia.org.in/,200,तांडा ग्रामपंचायत | Tanda Grampanchayat - आधिकारिक वेबसाइट,"data:image/svg+xml,<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 64 64""><defs><linearGradient id=""g"" x1=""0"" y1=""0"" x2=""1"" y2=""1""><stop offset=""0%"" stop-color=""%230E9F6E""/><stop offset=""100%"" stop-color=""%23F97316""/></linearGradient></defs><rect width=""64"" height=""64"" rx=""12"" fill=""url(%23g)""/><text x=""50%"" y=""50%"" dominant-baseline=""middle"" text-anchor=""middle"" font-family=""Segoe UI, system-ui, -apple-system, sans-serif"" font-size=""32"" fill=""white"">ग</text></svg>",Gram panchayat tanda,146.0,2025-11-11T07:14:04.873567+00:00,20,2,0,0,0,6.0,1,0,0.2634392976760864,999
medell.in,NIC,0.5,Content,related,,https://www.medell.in/,200,Cargando...,https://www.medell.in/favicon.ico,,1636.0,2025-11-11T07:14:05.685003+00:00,9,1,0,0,0,6.0,1,0,0.2940918803215027,24
devanshiskinandhair.in,NIC,0.5,Content,related,,https://devanshiskinandhair.in,200,Devanshi Skin & Hair Clinic Vapi | Dermatology & Aesthetics,https://devanshiskinandhair.in/assets/images/logo/apple-touch-icon.png,,,2025-11-11T07:14:06.338040+00:00,22,1,0,0,0,,1,0,0.1976519525051117,22
orthopedicdoctorinbaner.in,NIC,0.5,Content,related,,https://orthopedicdoctorinbaner.in,200,"Dr. Amit Patil | Best Orthopedic Surgeon in Baner, Pune",https://orthopedicdoctorinbaner.in/img/favicon.png,Edgelink Technology Pvt Ltd,146.0,2025-11-11T07:14:49.132137+00:00,26,1,0,0,0,6.0,1,0,0.1848371922969818,22
tecafee.in,NIC,0.5,Content,related,,https://tecafee.in,200,TecaFee India | Your Trusted Partner for Coffee & Cafe Equipment,https://tecafee.in/img/favi.png,,,2025-11-11T07:14:50.781377+00:00,10,1,0,0,0,,1,0,0.2016142755746841,26
bioscanlab.in,NIC,0.5,Content,related,,https://bioscanlab.in,200,,https://bioscanlab.in/wp-content/uploads/2025/11/cropped-cropped-logo-bio-scan-1-scaled-1-32x32.png,softdottech software solutions,1636.0,2025-11-11T07:15:27.756607+00:00,13,1,0,0,0,6.0,1,0,0.1468465924263,20
peanutproducts.in,NIC,0.5,Content,related,,https://peanutproducts.in,200,ORNUT - Premium Artisanal Peanut Butter | Shop Online,https://peanutproducts.in/attached_assets/IMG-20251106-WA0028_1762432081376.jpg,ORNUT,1636.0,2025-11-11T07:15:28.355678+00:00,17,1,0,0,0,6.0,1,1,0.1381250768899917,26
cambridgelifeskills.in,NIC,0.5,Content,related,,https://cambridgelifeskills.in,200,,https://cambridgelifeskills.in/favicon.ico,,,2025-11-11T07:15:29.884076+00:00,22,1,0,0,0,,1,0,0.1810199469327926,999
gaurchrysalissector22d.in,NIC,1.0,RDAP,related,,https://gaurchrysalissector22d.in,200,"Gaur Chrysalis Sector 22D Yamuna Expressway | Price, Floor Plan, Brochure",https://gaurchrysalissector22d.in/images/logo.png,INICIO DIGITAL MANTRA PRIVATE LIMITED,146.0,2025-11-11T07:15:43.213208+00:00,25,1,1,0,0,6.0,0,0,0.0676489248871803,24
family-id.in,NIC,0.5,Content,related,,https://family-id.in,200,"Family ID UP - Download, Status, Login & Registration 2025",https://family-id.in/wp-content/uploads/2025/11/Family-ID-UP.png,,1068.0,2025-11-11T07:15:43.433494+00:00,12,1,0,1,0,6.0,1,1,0.2332670241594314,28
ametadmission.in,NIC,0.5,Content,related,,https://ametadmission.in,200,AMET - Maersk Recruitment Drive Electro Technical Officer - 2026,https://ametadmission.in/favicon.ico,,,2025-11-11T07:16:46.641509+00:00,16,1,0,0,0,,1,0,0.2598664462566376,999
punetechcare.in,NIC,0.5,Content,related,,https://punetechcare.in,200,Pune Tech Care | Expert Appliance & PCB Repair Services in Pune - Pune Tech Care,https://punetechcare.in/wp-content/uploads/2025/10/cropped-cropped-cropped-ChatGPT-Image-Oct-29-2025-12_27_30-PM-32x32.png,,,2025-11-11T07:17:23.608329+00:00,15,1,0,0,0,,1,0,0.2561463117599487,26
dranshukulkarni.in,NIC,0.5,Content,related,,https://dranshukulkarni.in,200,Home - Dr. Anshu Kulkarni Clinic,https://dranshukulkarni.in/favicon.ico,HubTech Media Solutions,440.0,2025-11-11T07:17:49.737321+00:00,18,1,0,0,0,5.0,1,0,0.3231241106986999,999
saipestcontrolservices.in,NIC,0.5,Content,related,,https://saipestcontrolservices.in,200,Sai Pest Control,https://saipestcontrolservices.in/favicon.ico,Weblife Network Pvt Ltd,146.0,2025-11-11T07:17:49.857396+00:00,25,1,0,0,0,5.0,1,0,0.2621248364448547,999
goglobalparachutes.in,NIC,0.5,Content,related,,https://globalparachutes.com/,200,Global Parachutes - Amazon 360 Agency - Amazon Ads Verified,https://globalparachutes.com/wp-content/uploads/2023/04/bla-90x90.png,,,2025-11-11T07:17:57.589406+00:00,21,1,0,0,0,,1,1,0.0216843262314796,22
yourglobalparachutes.in,NIC,0.5,Content,related,,https://globalparachutes.com/,200,Global Parachutes - Amazon 360 Agency - Amazon Ads Verified,https://globalparachutes.com/wp-content/uploads/2023/04/bla-90x90.png,,,2025-11-11T07:17:57.756029+00:00,23,1,0,0,0,,1,1,0.055231861770153,22
slavastore.in,NIC,0.5,Content,related,,https://slavastore.in,200,"
      Slava Store.
 – 22.11.2020 ",https://slavastore.in/favicon.ico,,1636.0,2025-11-11T07:17:58.751237+00:00,13,1,0,0,0,5.0,1,0,0.1596507728099823,999
innovsense.co.in,NIC,0.5,Content,related,,https://innovsense.co.in,200,,https://innovsense.co.in/favicon.ico,innovSense Technologies,146.0,2025-11-11T07:18:14.624162+00:00,16,2,0,0,0,5.0,1,0,0.2526886165142059,999
dmaxxgroup.in,NIC,0.5,Content,related,,https://www.dmaxxgroup.in/,200,DREAM MAXX - Premium Electronics & Furniture Marketplace,https://www.dmaxxgroup.in/favicon.ico,DMAXX,1636.0,2025-11-11T07:18:43.745145+00:00,13,1,0,0,0,5.0,1,2,0.2507865130901336,28
loanalert.in,HDFC,0.5,Content,related,,https://loanalert.in,200,loanalert.in -,https://loanalert.in/wp-content/uploads/2025/11/cropped-WhatsApp-Image-2025-11-06-at-11.49.33-AM-32x32.jpeg,,,2025-11-11T07:18:46.452835+00:00,12,1,0,0,0,,1,0,0.3489429652690887,24
vimarshportalmp.in,NIC,0.5,Content,related,,https://vimarshportalmp.in,200,"Vimarsh Portal MP: लॉगिन, पंजीकरण(vimarsh.mp.gov.in) - Vimarsh Portal",https://vimarshportalmp.in/favicon.ico,,1636.0,2025-11-11T07:19:00.025781+00:00,18,1,0,0,0,5.0,1,1,0.268857330083847,999
therdstore.in,NIC,0.5,Content,related,,https://therdstore.in,200,Home - therdstore.in,https://therdstore.in/favicon.ico,,1636.0,2025-11-11T07:19:45.506969+00:00,13,1,0,0,0,5.0,1,1,0.2164915800094604,999
painandcare.in,Airtel,0.5,Content,related,,https://painandcare.in,200,Pain & Care,https://painandcare.in/favicon.ico,,1636.0,2025-11-11T07:19:45.676071+00:00,14,1,0,0,0,5.0,1,0,0.1713413298130035,999
k2gcrackers.in,NIC,0.5,Content,related,,https://www.k2gcrackers.in/,200,Buy the Best Online Crackers from Sivakasi | K2GCRACKERS,https://www.k2gcrackers.in/icon512_rounded.png,,146.0,2025-11-11T07:19:46.499878+00:00,14,1,1,0,0,5.0,1,1,0.3085425496101379,24
shahdental.in,NIC,0.5,Content,related,,https://shahdental.in,200,Shah Dental -,https://shahdental.in/wp-content/uploads/2025/11/cropped-s-32x32.png,,1636.0,2025-11-11T07:19:46.682745+00:00,13,1,0,0,0,5.0,1,0,0.234242707490921,18
lgservicecentercoimbatore.in,NIC,0.5,Content,related,,https://lgservicecentercoimbatore.in,200,Home,https://lgservicecentercoimbatore.in/favicon.ico,Thewebers,1636.0,2025-11-11T07:20:12.440689+00:00,28,1,0,0,0,5.0,1,0,0.1295620203018188,999
skassociatesandbuilders.in,NIC,0.5,Content,related,,https://skassociatesandbuilders.in,200,Home,https://skassociatesandbuilders.in/favicon.ico,Thewebers,1636.0,2025-11-11T07:20:12.574392+00:00,26,1,0,0,0,5.0,1,0,0.0026520863175392,999
powerfacilitiesservices.in,NIC,0.5,Content,related,,https://powerfacilitiesservices.in,200,Power Facilities Services,https://powerfacilitiesservices.in/images/my-img/tab.png,,,2025-11-11T07:20:13.343187+00:00,26,1,0,0,0,,1,0,0.2745295763015747,26
jppest.in,NIC,0.5,Content,related,,https://jppest.in,200,JP Pest -,https://jppest.in/wp-content/uploads/2025/11/cropped-JP-1-32x32.png,,1636.0,2025-11-11T07:20:30.529056+00:00,9,1,0,0,0,5.0,1,0,0.2789428234100342,26
statescholarship.co.in,NIC,0.5,Content,related,,https://statescholarship.co.in,200,"State Scholarship Portal: Odisha State Scholarship, eligibility Apply, Status, Login - State Scholarship",https://statescholarship.co.in/wp-content/uploads/2025/11/favicon.png,,146.0,2025-11-11T07:20:45.799445+00:00,22,2,0,0,0,5.0,1,1,0.1552319973707199,26
invictusbiocare.in,SBI,1.0,URL,related,,https://invictusbiocare.in,200,Invictus Biocare | Doctor & Products,https://invictusbiocare.in/favicon.ico,,,2025-11-11T07:20:45.943923+00:00,18,1,0,0,0,,0,0,0.1196747943758964,999
