url_length,num_dots,num_hyphens,num_underscores,num_slashes,num_digits,digit_ratio,num_special,num_question,num_equal,num_dollar,num_exclamation,num_hashtag,num_percent,repeated_digits_url,domain_length,num_hyphens_domain,num_special_domain,has_special_domain,subdomain_count,avg_subdomain_len,subdomain_hyphen,subdomain_repeated_digits,entropy_url,entropy_domain,https,has_ip_host,is_related_to_cse,html_length,num_links,external_links_ratio,num_forms,has_login_form,num_scripts,num_iframes,title_length,meta_keyword_match,favicon_match_cse,favicon_distance,label,source
13,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,13,0,0,0,0,0.0,0,0,2.873140679513133,2.873140679513133,0,0,1,44995.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,SBI,22,0,whitelist
9,2,0,0,0,0,0.0,2,0,0,0,0,0,0,0,9,0,0,0,0,0.0,0,0,2.725480556997868,2.725480556997868,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SBI,0,1,PS02_Training_set.xlsx
11,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,11,0,0,0,0,0.0,0,0,3.2776134368191157,3.2776134368191157,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,999,1,PS02_Training_set.xlsx
16,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,16,0,0,0,0,0.0,0,0,3.0,3.0,0,0,1,41795.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,SBI,26,0,whitelist
11,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,11,0,0,0,0,0.0,0,0,2.913977073182752,2.913977073182752,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,999,0,whitelist
13,2,0,0,0,0,0.0,2,0,0,0,0,0,0,0,13,0,0,0,0,0.0,0,0,3.180832987205441,3.180832987205441,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,999,1,PS02_Training_set.xlsx
13,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,13,0,0,0,0,0.0,0,0,2.9689185639620974,2.9689185639620974,0,0,1,923963.0,399.0,0.2330827009252456,1.0,0.0,20.0,0.0,65.0,1.0,ICICI,0,1,PS02_Training_set.xlsx
16,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,16,0,0,0,0,0.0,0,0,2.952819531114783,2.952819531114783,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,999,0,whitelist
15,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,15,0,0,0,0,0.0,0,0,2.8402239289418523,2.8402239289418523,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,999,1,PS02_Training_set.xlsx
16,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,16,0,0,0,0,0.0,0,0,3.1556390622295662,3.1556390622295662,0,0,1,297353.0,374.0,0.19251336383654108,1.0,0.0,55.0,4.0,68.0,1.0,,999,1,PS02_Training_set.xlsx
16,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,16,0,0,0,0,0.0,0,0,3.202819531114783,3.202819531114783,0,0,1,706988.0,547.0,0.8628884668576149,3.0,0.0,43.0,5.0,59.0,1.0,,999,1,PS02_Training_set.xlsx
12,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,12,0,0,0,0,0.0,0,0,3.4182958340544896,3.4182958340544896,0,0,1,943585.0,1322.0,0.24432677576152212,0.0,0.0,63.0,1.0,50.0,1.0,,999,1,PS02_Training_set.xlsx
8,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,8,0,0,0,0,0.0,0,0,2.75,2.75,0,0,1,232092.0,237.0,0.5063290925599538,7.0,0.0,30.0,0.0,54.0,1.0,ICICI,26,0,whitelist
12,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,12,0,0,0,0,0.0,0,0,3.2516291673878226,3.2516291673878226,0,0,1,803578.0,701.0,0.20684735796223455,5.0,0.0,36.0,1.0,64.0,1.0,,999,1,PS02_Training_set.xlsx
12,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,12,0,0,0,0,0.0,0,0,3.2516291673878226,3.2516291673878226,0,0,1,1422574.0,992.0,0.70362902516503,21.0,0.0,30.0,2.0,69.0,1.0,Airtel,34,1,PS02_Training_set.xlsx
11,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,11,0,0,0,0,0.0,0,0,2.5949066182439395,2.5949066182439395,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,999,1,PS02_Training_set.xlsx
10,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,10,0,0,0,0,0.0,0,0,3.1219280948873624,3.1219280948873624,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Airtel,26,0,whitelist
15,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,15,0,0,0,0,0.0,0,0,3.1898980954642875,3.1898980954642875,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,999,1,PS02_Training_set.xlsx
15,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,15,0,0,0,0,0.0,0,0,3.1898980954642875,3.1898980954642875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,999,0,whitelist
10,2,0,0,0,0,0.0,2,0,0,0,0,0,0,0,10,0,0,0,0,0.0,0,0,2.721928094887362,2.721928094887362,0,0,1,333147.0,165.0,0.903030248301197,1.0,0.0,40.0,2.0,46.0,1.0,,999,1,PS02_Training_set.xlsx
12,2,0,0,0,0,0.0,2,0,0,0,0,0,0,0,12,0,0,0,0,0.0,0,0,3.2516291673878226,3.2516291673878226,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,999,1,PS02_Training_set.xlsx
18,3,0,0,0,0,0.0,3,0,0,0,0,0,0,0,11,0,0,0,1,6.0,0,0,3.4193819456463714,3.095795255000934,0,0,1,20055.0,4.0,0.49999875000312505,3.0,1.0,12.0,0.0,10.0,0.0,Airtel,28,1,PS02_Training_set.xlsx
21,2,0,0,0,0,0.0,2,0,0,0,0,0,0,0,12,0,0,0,1,8.0,0,0,3.6537567082870015,3.4182958340544896,0,0,1,980.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,999,1,PS02_Training_set.xlsx
17,3,0,0,0,0,0.0,3,0,0,0,0,0,0,0,14,0,0,0,1,2.0,0,0,3.2195282822995472,3.0930692077718898,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SBI,30,1,PS02_Training_set.xlsx
11,2,0,0,0,0,0.0,2,0,0,0,0,0,0,0,11,0,0,0,0,0.0,0,0,2.6635327548042547,2.6635327548042547,0,0,1,12462.0,0.0,0.0,0.0,0.0,15.0,0.0,39.0,1.0,,999,1,PS02_Training_set.xlsx
9,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,9,0,0,0,0,0.0,0,0,2.6416041678685938,2.6416041678685938,0,0,1,165925.0,143.0,0.9020978390141371,1.0,0.0,31.0,1.0,22.0,1.0,,999,0,whitelist
9,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,9,0,0,0,0,0.0,0,0,2.94770277922009,2.94770277922009,0,0,1,2484.0,0.0,0.0,0.0,0.0,3.0,0.0,54.0,0.0,Airtel,0,1,PS02_Training_set.xlsx
